french	russian	notes
Vay : Et alors ? Mon père, il est prêt à la quitter. Je le sens. Il est mûr. Mais il a peur de se retrouver tout seul. 	Vay : И что? Мой отец готов ее бросить. Я чувствую. Он созрел. Но боится остаться один.	
-Faudrait que tu lui présentes la mère de Gwen ! 	- Надо познакомить его с матерью Гвен!	
-Et avec l’argent que t’as récupéré des cadeaux de grosse pizza, tu les envoie à Acapulco boire des mojitos. 	- А на деньги, которые ты выручила от подарков толстой пиццы, отправишь их в Акапулько пить мохито.	les « mojitos » reviennent comme cliché de luxe à Acapulco. « пить мохито » conserve ce symbole de vacances rêvées.
-Quand ils reviennent, ils sont tout love-love et grosse pizza, au placard. 	- Когда вернутся, они будут вся любовь-любовь, а толстую пиццу — в шкаф.	« au placard » veut dire mise à l’écart, éliminée du jeu familial. « в шкаф » garde l’image de relégation.
-Voilà comment on fait le ménage ! 	- Вот как наводят порядок!	« faire le ménage » signifie ici se débarrasser de ce qui gêne, pas seulement nettoyer. « наводят порядок » garde le double sens.
Vay : C’est fatigant, les parents.	Vay : Родители — это утомительно.	
4 - Arrestation	4 - Арест	
Tom, Raph, Liz, Khal	Том, Раф, Лиз, Каль	
Tom : Le cousin de Richard, tu vois ?	Tom : Двоюродный брат Ришара, понимаешь?	« tu vois ? » est encore le tic oral qui lance la rumeur. « понимаешь? » conserve cette entrée familière.
Raph : Quoi ?	Raph : Что?	
Tom : Tu vois qui ?	Tom : Понимаешь, кто?	« Tu vois qui ? » installe le rituel de reconnaissance du cousin. « Понимаешь, кто? » garde la répétition.
Raph : Qui emmène sa copine à Acapulco ?	Raph : Который везет свою девушку в Акапулько?	
Tom : Oui. Il parait qu’il s’est fait arrêter.	Tom : Да. Говорят, его арестовали.	
Liz : C’est vrai ?	Liz : Правда?	
Tom : Je viens de croiser Ria et Vay.	Tom : Я только что встретил Рию и Вэй.	
Raph : C’est dommage. Ça marchait bien pour lui.	Raph : Жалко. У него всё так хорошо шло.	
Liz : Ça sentait le moisi, le pas très net, moi je le dis.	Liz : Попахивало плесенью, чем-то мутным, я же говорю.	« ça sentait le moisi » signifie que l’affaire paraissait louche, pas seulement qu’elle sentait mauvais. « попахивало плесенью, чем-то мутным » garde l’image et le soupçon.
Khal : On n’a que ce qu’on mérite, au fond.	Khal : В глубине души, каждый получает по заслугам.	
Tom : Il est en garde-à-vue.	Tom : Он под стражей.	« garde-à-vue » désigne la retenue par la police pendant l’enquête. « под стражей » rend le statut judiciaire.
Khal : Il va aller en taule ?	Khal : Его посадят?	« taule » est de l’argot pour la prison. « посадят » garde le registre direct et familier.
Raph : Parait qu’il vendait des fausses alarmes à des vieilles, ou un truc du genre. A moins que ce ne soit des adoucisseurs d’eau ou des agendas électroniques pour les aider à retrouver la peau douce et la mémoire. Je ne sais plus bien…	Raph : Говорят, он продавал старушкам фальшивые сигнализации или что-то в этом роде. Или, может, умягчители воды, или электронные ежедневники, чтобы вернуть им нежную кожу и память. Я уже плохо помню…	
Tom : Moi, j’avais plutôt entendu dire qu’il dealait. Et qu’il emballait de la pâte à modeler marron dans de l’alu pour la vendre à des gamins au prix du shit.	Tom : А я скорее слышал, что он барыжил. Заворачивал коричневый пластилин в фольгу и продавал детям по цене гашиша.	« dealait » signifie vendait de la drogue ; « shit » désigne familièrement le cannabis/haschisch. « барыжил » et « гашиш » rendent l’argot.
Liz : Trop banal. A tous les coups il est devenu passeur.	Liz : Слишком банально. Сто пудов он стал перевозчиком.	« à tous les coups » veut dire très probablement ; « passeur » désigne quelqu’un qui fait passer clandestinement des personnes. « сто пудов » et « перевозчик » gardent le sens.
Tom : Passeur ? Impossible.	Tom : Перевозчиком? Невозможно.	
Liz : Je vous le dis depuis de début. Il sent la charogne, ce type. Il passe des clandestins à Calais. Vers l’Angleterre. Un permis et le voilà riche à souhait. Ça ne vous interpelle pas, vous ?	Liz : Я вам с самого начала говорю. От этого типа несет падалью. Он переправляет нелегалов в Кале. В Англию. Получил права — и вот он богат сколько хочешь. Вас это не настораживает?	« clandestins » désigne des migrants sans papiers ; « ça interpelle » signifie que cela devrait faire réfléchir. « нелегалы » et « настораживает » rendent ces nuances.
Tom : Il les emmène dans sa Verbeira avec des phares à diodes laser plus ?	Tom : Он везет их в своей Вербейре с фарами на лазерных диодах плюс?	
Liz : Bonne couverture, non ? Le luxe, ça rassure tout le monde. Tu vois, avec l’argent, c’est comme ça, plus tu en as, plus on t’en donne.	Liz : Хорошее прикрытие, нет? Роскошь всех успокаивает. Видишь, с деньгами так: чем больше у тебя есть, тем больше тебе дают.	« couverture » est une façade qui cache une activité illégale ; « Tu vois » relance l’explication. « прикрытие » et « Видишь » gardent le raisonnement.
Tom : Dans le coffre de sa Verbeira ?	Tom : В багажнике своей Вербейры?	
Liz : A mon avis, il y en a un qui est mort.	Liz : По-моему, один там умер.	
Tom, Raph, Khal : ….	Tom, Raph, Khal : ….	
Liz : Ben quoi ?	Liz : Ну что?	
Raph : Mais c’est grave !	Raph : Но это серьезно!	
Liz : Je ne sais pas… De quoi ? Faire passer des cland’ ou leur tirer de l’argent ?	Liz : Не знаю… Что? Переправлять нелегалов или выманивать у них деньги?	« cland’ » abrège familièrement « clandestins » ; « tirer de l’argent » signifie soutirer de l’argent. « нелегалов » et « выманивать деньги » explicitent le sens.
Khal : C’est de l’argent sale.	Khal : Это грязные деньги.	« argent sale » désigne de l’argent issu d’une activité immorale ou illégale. « грязные деньги » garde l’expression équivalente.
Raph : Super sale, même.	Raph : Даже супергрязные.	
Liz : Parce qu’il vient de loin ?	Liz : Потому что они издалека?	
Khal : C’est un sale mec.	Khal : Он грязный тип.	
Tom : Je préfère encore être mécano et réglo.	Tom : Я лучше уж буду механиком и честным.	« réglo » est familier pour honnête, correct, dans les règles. « честным » rend cette droiture.
Liz : C’est moins risqué, c’est sûr.	Liz : Это менее рискованно, это точно.	
Raph : Mais tu gagnes moins.	Raph : Зато зарабатываешь меньше.	
Tom : Mais tu perds moins.	Tom : Зато теряешь меньше.	
Raph : En même temps, avant qu’il y ait un mort, grâce à Richard, il y en a plein qui sont passés !	Raph : С другой стороны, до того как кто-то умер, благодаря Ришару многие прошли!	
Liz : Tu aides quelqu’un ou tu l’arnaques. Tu fais forcément un choix. Tu n’aides pas quelqu’un en l’arnaquant. C’est de la mauvaise foi.	Liz : Ты либо помогаешь человеку, либо обманываешь его. Ты в любом случае делаешь выбор. Нельзя помогать человеку, обманывая его. Это недобросовестно.	« mauvaise foi » signifie argumenter en sachant qu’on tord la vérité. « недобросовестно » rend cette malhonnêteté intellectuelle.
Khal/Tom : Mais nous on a foi en quoi ? On ne fait rien, ni de bien ni de mal, on ne fait rien.	Khal/Tom : А мы во что верим? Мы ничего не делаем — ни хорошего, ни плохого, ничего.	
Monologue Tom	Монолог Тома	
Tom : Façon, c’est simple. Ils peuvent dire ce qu’ils veulent. Maintenant ça m’est égal. Moi, la mécanique, j’ai toujours aimé. Je voulais rien dire. C’est sorti tout seul. Mes mots. Ils sortent toujours tout seuls. C’est pour ça que ça ne va pas. A l’école je veux dire. Je n’ai jamais le temps de les mettre dans le bon ordre alors ils sortent n’importe comment. En mécanique on doit trouver les bonnes pièces. Pas les bons mots. C’est ça qui est bien. Je vais en parler à M. Vergraef, il va me prendre. En apprentissage, je veux dire. Ria, pour elle, les mots c’est facile. Elle fait des jeux de mots, même. Moi, une fois que j’en vois une de Verbeira je suis déjà content, même si elle n’est pas à moi. Je suis content pour les autres. Mais quand même, je n’aimerais pas que le cousin de Richard se pointe au garage avec sa Verbeira. Je ne saurais pas quoi dire. Et puis les phares à diodes laser plus, je ne saurais pas les réparer. En même temps, maintenant qu’il a été arrêté, ça ne risque plus. Mécano, ce n’est pas larbin. J’ai bien vu, Ria, elle pense comme moi. Que mécano, c’est pas larbin. Façon, c’est simple, Raph, lui, il ne sait pas être content pour les autres. Jamais. C’est drôle, hein ? Moi je préfère aider qu’arnaquer. Le cousin de Richard, c’est l’inverse. Demain je vais voir M. Vergraef.	Tom : Короче, всё просто. Пусть говорят что хотят. Теперь мне всё равно. Механику я всегда любил. Не хотел ничего говорить. Само вырвалось. Мои слова. Они всегда сами вырываются. Поэтому всё не ладится. В школе, я имею в виду. Я никогда не успеваю поставить их в правильном порядке, и они выходят как попало. В механике надо находить правильные детали. Не правильные слова. Вот что хорошо. Я поговорю с господином Верграфом, он меня возьмет. В ученики, я имею в виду. Для Рии слова — это легко. Она даже каламбуры делает. А я, стоит мне увидеть хоть одну Вербейру, уже рад, даже если она не моя. Я рад за других. Но всё же не хотел бы, чтобы двоюродный брат Ришара заявился в гараж со своей Вербейрой. Я бы не знал, что сказать. И фары на лазерных диодах плюс я бы не сумел починить. С другой стороны, теперь, когда его арестовали, этого уже не случится. Механик — это не холуй. Я видел, Рия думает как я. Что механик — не холуй. Короче, всё просто: Раф не умеет радоваться за других. Никогда. Забавно, да? Я предпочитаю помогать, а не обманывать. У двоюродного брата Ришара наоборот. Завтра пойду к господину Верграфу.	« façon » abrège oralement « de toute façon » ; « se pointe » veut dire arrive familièrement ; « larbin » reste l’insulte sociale. « короче », « заявился » et « холуй » gardent l’oralité.
MUSIQUE – Temps où ils bougent sans parler. 	МУЗЫКА – Время, когда они двигаются молча.	
5 - Gigolo	5 - Жиголо	
Moon, Stan, Liz, Ria, Gwen	Мун, Стэн, Лиз, Рия, Гвен	
Moon : Le cousin de Richard, tu vois ?	Moon : Двоюродный брат Ришара, понимаешь?	« tu vois ? » ouvre encore une rumeur sur le cousin de Richard. « понимаешь? » garde la formule de connivence.
Stan : Quoi ?	Stan : Что?	
Moon : Tu vois qui ?	Moon : Понимаешь, кто?	« Tu vois qui ? » répète le mécanisme de reconnaissance. « Понимаешь, кто? » garde ce refrain oral.
Stan : Qui s’est fait arrêter ?	Stan : Которого арестовали?	
Moon : Oui, il serait gigolo.	Moon : Да, он, похоже, жиголо.	« gigolo » désigne un homme entretenu par des femmes, souvent plus âgées ou riches. « жиголо » garde l’emprunt et la connotation morale.
Liz : Non !	Liz : Да ладно!	
Moon : Promis !	Moon : Клянусь!	
Liz: Alors ?	Liz: И что?	
Moon : Alors, ils l’ont relâché. Il a le droit.	Moon : А то, что его отпустили. Он имеет право.	
Stan : Tout s’explique ! La Verbeira, c’est juste le cadeau d’une vieille peau. Je vous le disais, aucune morale !	Stan : Всё объясняется! Вербейра — просто подарок от старой кошелки. Я же говорил, никакой морали!	« vieille peau » est une insulte sexiste et âgiste pour une vieille femme. « старая кошелка » rend le mépris.
Liz : Et toi ?	Liz : А ты?	
Stan : Quoi moi ?	Stan : Что я?	
Moon : Qui nous dit que tu ne le ferais pas, si tu pouvais ?	Moon : Кто сказал, что ты бы так не сделал, если бы мог?	
Stan : Tu me crois capable de… ?	Stan : Ты думаешь, я способен на…?	
Ria : Non justement. Mais si tu étais capable, alors, oui, je me demande.	Ria : Вот именно, нет. Но если бы был способен, тогда да, я бы задумалась.	
Stan : Mais je suis capable.	Stan : Но я способен.	
Ria : Tu viens de dire que non.	Ria : Ты только что сказал, что нет.	
Liz : Tu n’y arrives déjà pas avec Gwen alors…	Liz : Ты уже с Гвен не справляешься, так что…	
Stan : Rien à voir.	Stan : Это вообще другое.	
Liz : Ben quand même. Plus elles sont riches, plus elles sont exigeantes. Et Gwen, elle n’est pas très riche.	Liz : Ну всё-таки. Чем они богаче, тем требовательнее. А Гвен не очень богата.	
Gwen : Pas encore, mais plus tard, je serai riche.	Gwen : Пока нет, но потом я буду богатой.	
Stan : Parce que tu ne m’as jamais vu en smoking. L’air d’un prince !	Stan : Потому что ты никогда не видела меня в смокинге. Вид принца!	
Gwen : Stan, les princes charmants, c’est fini. Maintenant il faut de l’expérience. Des références.	Gwen : Стэн, прекрасные принцы закончились. Теперь нужен опыт. Рекомендации.	« prince charmant » renvoie au héros amoureux des contes, ici déclaré dépassé. « прекрасные принцы » garde la référence au conte.
Stan : Le cousin de Richard, c’est juste qu’il est plus vieux. Moi aussi dans quelques années…	Stan : Двоюродный брат Ришара просто старше. Я тоже через несколько лет…	
Liz : Ah ! Tu vois…	Liz : Ага! Вот видишь…	« Tu vois… » sert à faire avouer à Stan qu’il se contredit. « Вот видишь… » rend cette petite victoire argumentative.
Stan : Mais moi, faudrait vraiment que je sois dans le besoin, la nécessité absolue… Lui, c’est juste pour frimer, pour son plaisir. C’est répugnant… Une vieille peau…. Berk….Il me dégoûte, ce type. 	Stan : Но мне для этого надо было бы правда нуждаться, крайняя необходимость… А он — просто чтобы выпендриться, ради удовольствия. Отвратительно… Старая кошелка… Фу… Меня тошнит от этого типа.	« dans le besoin » signifie en grande nécessité ; « frimer » exhiber sa réussite ; « vieille peau » insulte une femme âgée ; « Berk » exprime le dégoût. « нуждаться », « выпендриться », « старая кошелка » et « фу » rendent ces registres.
Moon : Moi je te dégoûte ?	Moon : Я тебя тоже тошню?	
Stan : Pourquoi tu dis ça ?	Stan : Почему ты так говоришь?	
Moon : Je l’ai déjà fait.	Moon : Я уже это делала.	
Liz : Elle te nargue.	Liz : Она тебя дразнит.	« narguer » signifie provoquer quelqu’un en le défiant ou en le piquant. « дразнит » garde cette provocation.
Moon : Non. C’est vrai. Je l’ai déjà fait.	Moon : Нет. Это правда. Я уже это делала.	
Stan et Liz : Je ne te crois pas.	Stan et Liz : Не верю.	
Moon : Une seule fois.	Moon : Один-единственный раз.	
Stan : Avec qui ? Pourquoi ?	Stan : С кем? Почему?	
Moon : Je ne sais plus.	Moon : Уже не помню.	
Moon va se mettre plus loin en hauteur. Un temps long.	Мун уходит дальше, наверх. Долгая пауза.	
Liz : Alors ça n’existe plus.	Liz : Тогда этого больше не существует.	
Liz, Gwen et Ria	Лиз, Гвен и Рия	
Liz : Faut pas la croire, Moon. C’est de la provoc. Parce que Stan, il nous énerve. Tous les gars, d’ailleurs. A dire que le cousin de Richard est un gigolo. Qu’est-ce qu’ils en savent ? Ils sont jaloux, c’est tout. Surtout Stan, parce que sa Gwen, elle lorgne dessus.	Liz : Не верь ей, Мун. Это провокация. Потому что Стэн нас бесит. Все парни, кстати. Говорят, что двоюродный брат Ришара — жиголо. Что они знают? Они просто завидуют. Особенно Стэн, потому что его Гвен на него заглядывается.	« provoc » abrège « provocation » ; « lorgne dessus » signifie désirer discrètement. « провокация » et « заглядывается » rendent l’idée.
Ria/Gwen : Faut pas la croire, Moon. C’est de la provoc. Elle en est incapable. On se connait depuis la maternelle. Je suis sûre que jamais elle…. Elle n’a même jamais eu un vrai copain. Le cousin de Richard, lui, faut reconnaitre qu’il est spécialiste. Il y a d’autres filles, aussi, je ne peux pas dire le contraire. Kim, par exemple, il faut avouer que… Mais on peut bien être amoureux de quelqu’un de riche aussi ? 	Ria/Gwen : Не верь ей, Мун. Это провокация. Она на такое не способна. Мы знаем друг друга с детского сада. Уверена, она никогда… У нее даже настоящего парня никогда не было. Двоюродный брат Ришара, надо признать, специалист. Есть и другие девчонки, тоже, не могу сказать обратное. Ким, например, надо признать, что… Но ведь можно же влюбиться и в богатого человека?	
Liz : Ce n’est pas un crime. Moi, ça ne me dérangerait pas. Mais pour autant je n’irais pas avec des vieux, même riches. Faut pas la croire, Moon. C’est de la provoc. Et puis elle n’a pas été élevée comme ça. Enfin, je ne sais pas, moi, mais ça se voit. 	Liz : Это не преступление. Меня бы это не смутило. Но при этом я бы не пошла со стариками, даже богатыми. Не верь ей, Мун. Это провокация. И потом, ее не так воспитали. Ну, не знаю, но это видно.	
Ria : Faut pas la croire, Moon. C’est de la provoc. Dans le cou, là, elle a la peau super douce. Avec les petites mèches dessus, c’est trop mignon. Parfois j’ai envie de l’embrasser à cet endroit comme ça, parce que c’est tentant, tout simplement. Mais je n’ose pas. Je ne sais pas comment elle le prendrait. Faut pas la croire, Moon. C’est de la provoc. Je n’ose pas. Mais il faudrait. J’en ai tellement envie. Moi, il ne m’a jamais trop rien dit, le cousin de Richard. Il m’aurait dit oui que j’aurais dit non. Déjà avant.	Ria : Не верь ей, Мун. Это провокация. Вот на шее у нее кожа супернежная. С маленькими прядками сверху — это так мило. Иногда мне хочется поцеловать ее в это место, просто так, потому что тянет. Но я не решаюсь. Не знаю, как она это воспримет. Не верь ей, Мун. Это провокация. Я не решаюсь. А надо бы. Мне так хочется. Двоюродный брат Ришара никогда мне особенно ничего не говорил. Сказал бы он мне «да» — я бы сказала «нет». Уже тогда.	« il ne m’a jamais trop rien dit » veut dire qu’il ne l’a jamais vraiment attirée. « никогда мне особенно ничего не говорил » garde l’euphémisme.
Liz/Gwen : Vous croyez que c’est vrai pour Moon ?	Liz/Gwen : Думаете, это правда про Мун?	
6 - Disparition	6 - Исчезновение	
Tom, Raph, Khal, Vay	Том, Раф, Каль, Вэй	
Tom : Le cousin de Richard, tu vois ?	Tom : Двоюродный брат Ришара, понимаешь?	« tu vois ? » continue le refrain oral autour du cousin. « понимаешь? » garde le tic de langage.
Raph : Quoi ?	Raph : Что?	
Tom : Tu vois qui ?	Tom : Понимаешь, кто?	« Tu vois qui ? » demande encore de situer le personnage. « Понимаешь, кто? » conserve le rituel.
Raph : Qui est gigolo ?	Raph : Который жиголо?	
Tom : Oui. On ne le retrouve plus.	Tom : Да. Его больше не могут найти.	
Khal : Comment ça ?	Khal : Как это?	
Tom : Disparu.	Tom : Исчез.	
Vay : Il est parti ?	Vay : Он уехал?	
Tom : Aucune trace. Rien. Personne. Personne de prévenu.	Tom : Ни следа. Ничего. Никого. Никого не предупредил.	
Raph : Comment on l’a su ?	Raph : Как мы узнали?	
Tom : Richard. J’imagine.	Tom : Ришар. Наверное.	
Khal : Il doit être dans un état !	Khal : Он, наверное, в ужасном состоянии!	
Tom : Moi, Richard, je le trouve fuyant en ce moment.	Tom : По-моему, Ришар в последнее время какой-то уклончивый.	« fuyant » décrit quelqu’un qui évite les autres ou les questions. « уклончивый » garde cette esquive.
Raph : Pas moi.	Raph : По-моему, нет.	
Vay : Qu’est-ce que tu en sais ? Tu le connais à peine.	Vay : Откуда ты знаешь? Ты его едва знаешь.	
Raph : Possible. Que oui, que non.	Raph : Возможно. И да, и нет.	« Que oui, que non » est une réponse volontairement évasive. « И да, и нет » garde l’ambiguïté.
Tom : Qu’est-ce que tu veux dire ? Vas-y, sois plus clair.	Tom : Что ты хочешь сказать? Давай, говори яснее.	
Raph : Ca me regarde.	Raph : Это мое дело.	« ça me regarde » signifie que cela ne concerne que moi. « это мое дело » rend la fermeture.
Khal : Richard, il a prévenu la police ?	Khal : Ришар заявил в полицию?	
Raph : Ce n’est pas à lui de le faire.	Raph : Не ему это делать.	
Vay : Pourquoi pas ? Pourquoi pas lui ?	Vay : Почему нет? Почему не ему?	
Tom : Moi je suis sûre que Richard sait où il se cache.	Tom : Я уверена, Ришар знает, где он прячется.	« se cache » peut vouloir dire se planquer volontairement, pas seulement être introuvable. « прячется » garde l’idée de dissimulation.
Khal : Il se cache ou il a disparu ? S’il savait quelque chose, il ne le dirait pas que son cousin a disparu.	Khal : Он прячется или исчез? Если бы он что-то знал, он бы не говорил, что его кузен исчез.	« il se cache ou il a disparu ? » oppose la fuite volontaire à la disparition subie. « прячется или исчез? » garde cette nuance.
Raph : Pour se rendre intéressant.	Raph : Чтобы привлечь к себе внимание.	« se rendre intéressant » signifie attirer l’attention sur soi, souvent artificiellement. « привлечь к себе внимание » rend le reproche.
Tom : Ce n’est pas son genre.	Tom : Это не в его стиле.	
Raph : Parfaitement son genre. Richard, qu’est-ce qu’il est sans son cousin ? Rien sans le cousin.	Raph : Именно в его стиле. Ришар — кто он без своего кузена? Ничто без кузена.	
Khal : Il a peut-être plus de personnalité que vous ne le croyez.	Khal : Может, у него больше личности, чем вы думаете.	
Tom : Peut-être qu’il a été kidnappé ?	Tom : Может, его похитили?	
Vay : La police le recherche au moins ?	Vay : Полиция хотя бы его ищет?	
Tom : Un coup on lui demande de le relâcher, un coup on lui demande de le rechercher, elle doit en avoir marre, la police, du cousin de Richard. S’il était resté au trou, au moins il y serait toujours.	Tom : То их просят отпустить его, то искать его — полиции, наверное, уже надоел двоюродный брат Ришара. Если бы он остался в кутузке, он бы там хотя бы всё еще был.	« au trou » est familier pour en prison ou en cellule. « в кутузке » garde l’argot.
Khal : Tom !	Khal : Том!	
Tom : Ben quoi ? C’est vrai ! Vous croyez que ce sont des clandestins qui sont venus le chercher ?	Tom : Ну что? Это правда! Думаете, это нелегалы пришли за ним?	
Vay : Pour venger celui qui est mort ?	Vay : Чтобы отомстить за того, кто умер?	
Khal : Qu’est-ce qu’il en dit, Richard ?	Khal : Что говорит Ришар?	
Tom : Je ne sais pas. Ça fait un bail que je ne l’ai pas vu.	Tom : Не знаю. Я его сто лет не видел.	« ça fait un bail » signifie que cela fait longtemps. « сто лет не видел » rend l’hyperbole familière.
Khal : Et toi ?	Khal : А ты?	
Raph : Pareil.	Raph : То же самое.	
Tom : Quand je vous dis qu’il est fuyant.	Tom : Вот я и говорю, он уклончивый.	
Khal/Gwen/Stan	Каль/Гвен/Стэн	
Khal : Moi aussi je vais disparaître. Rien à faire de ce Richard, de son cousin. Je ne les connais même pas de toute façon. Rien à faire. Je vais partir. Il faut que je parte. Ils me déçoivent, tous. Encore que. Non. Ils ne me déçoivent même pas. Ils m’ennuient. Tout simplement. 	Khal : Я тоже исчезну. Плевать мне на этого Ришара, на его кузена. Я их даже не знаю, в конце концов. Плевать. Я уеду. Мне надо уехать. Они все меня разочаровывают. Хотя нет. Даже не разочаровывают. Они мне надоели. Просто.	« rien à faire » veut dire ici « je m’en fiche complètement ». « плевать » garde la lassitude et le rejet.
Gwen :Je m’ennuie tellement ici. 	Gwen : Мне здесь так скучно.	
Stan : Moi je fais semblant, toujours semblant. Semblant de m’intéresser. Semblant de discuter. Mais moi, au moins je sais pourquoi je fais semblant.  Moi je fais semblant parce que c’est sordide d’être toute seule. 	Stan : Я притворяюсь, всегда притворяюсь. Притворяюсь, что мне интересно. Притворяюсь, что разговариваю. Но я, по крайней мере, знаю, почему притворяюсь. Я притворяюсь, потому что быть совсем одной — мерзко.	
Khal : Rien à faire. Cette histoire du cousin de Richard, c’est une grotesque goutte d’eau. Je me sens comme un poisson rouge dans un bocal avec un chat qui guette. 	Khal : Плевать. Эта история с двоюродным братом Ришара — гротескная последняя капля. Я чувствую себя как золотая рыбка в аквариуме, за которым следит кот.	« goutte d’eau » renvoie à la dernière goutte qui fait déborder le vase ; « poisson rouge dans un bocal » exprime l’enfermement sous surveillance. « последняя капля » et « золотая рыбка в аквариуме » gardent ces images.
Tous : Il faut que je parte. 	Tous : Мне надо уехать.	
Khal : Je vais demander à Ria de le dire à mes parents. Quand je serai partie. Pas le choix. Qu’ils ne s’imaginent pas que moi aussi j’ai disparu. Et qu’on n’imagine pas non plus que j’ai disparu avec le cousin de Richard ! Ils vont avoir peur pour moi. Il faut les comprendre. Ils n’ont qu’une fille. Moi. Alors ça compte. Mais j’enverrai des nouvelles. Souvent. Pour les rassurer. C’est dur de partir. Leur peur, la mienne, tout ça, ça fait beaucoup. Je vais lui laisser un petit mot, à Ria, gai, enthousiaste. Pour tout expliquer. A moins qu’elle parte avec moi. Je peux toujours lui demander. A deux, c’est quand même mieux.	Khal : Я попрошу Рию сказать это моим родителям. Когда я уеду. Другого выхода нет. Чтобы они не подумали, что я тоже исчезла. И чтобы никто тоже не подумал, что я исчезла с двоюродным братом Ришара! Они будут за меня бояться. Их надо понять. У них одна дочь. Я. Значит, это важно. Но я буду посылать новости. Часто. Чтобы успокоить. Уезжать трудно. Их страх, мой страх — всего слишком много. Я оставлю Рии записку, веселую, восторженную. Чтобы всё объяснить. Если только она не уедет со мной. Я всегда могу попросить. Вдвоем всё-таки лучше.	
7 - Vengeance	7 - Месть	
Tous 	Все	
Ria est un peu à l’écart ou ira s’isoler pendant leur conversation	Рия немного в стороне или уединится во время их разговора.	
Moon : Le cousin de Richard, tu vois ?	Moon : Двоюродный брат Ришара, понимаешь?	« tu vois ? » relance une dernière fois la rumeur collective. « понимаешь? » conserve la formule orale.
Tom : Quoi ?	Tom : Что?	
Moon : Tu vois qui ?	Moon : Понимаешь, кто?	« Tu vois qui ? » poursuit le refrain d’identification. « Понимаешь, кто? » garde la mécanique répétitive.
Raph : Qui a disparu ?	Raph : Который исчез?	
Moon : Oui, Jérome.	Moon : Да, Жером.	
Vay : Pas Jérome, Joël.	Vay : Не Жером, Жоэль.	
Stan : Tu parles bien du gigolo ?	Stan : Ты точно про жиголо?	
Moon : Oui.	Moon : Да.	
Stan : C’est Marco.	Stan : Это Марко.	
Khal : Moi, Richard m’a toujours dit que c’était Christophe.	Khal : Мне Ришар всегда говорил, что это Кристоф.	
Gwen : Faudra qu’on redemande à Richard.	Gwen : Надо будет еще раз спросить у Ришара.	
Vay : On ne l’a pas vu au réveillon ?	Vay : Мы его не видели на новогодней вечеринке?	
Moon : Qui ? Le cousin ?	Moon : Кого? Кузена?	
Liz : Richard. Son cousin, je ne le reconnaitrais pas.	Liz : Ришара. Его кузена я бы не узнала.	
Khal : C’est vrai ?	Khal : Правда?	
Liz : Je ne l’ai vu qu’une fois à un anniversaire.	Liz : Я видела его только раз на дне рождения.	
Moon : Et en plus tu confonds Jérome et Joël. Pas les mêmes.	Moon : И к тому же ты путаешь Жерома и Жоэля. Не одно и то же.	
Gwen : Parce que toi, tu le connais bien ?	Gwen : А ты, значит, хорошо его знаешь?	
Moon : Quand même. Il arrive quelque part, tu ne peux pas le rater. Super grand, mince, tout roux et des yeux verts.	Moon : Всё-таки. Он приходит куда-нибудь — его невозможно не заметить. Супервысокий, худой, весь рыжий и зеленые глаза.	« tu ne peux pas le rater » signifie qu’il est impossible de ne pas le remarquer. « невозможно не заметить » rend l’évidence visuelle.
Stan : Les yeux verts, d’accord, mais sinon il est brun avec la peau mate. Pas du tout une peau de roux.	Stan : Зеленые глаза — ладно, но вообще он брюнет со смуглой кожей. Совсем не кожа рыжего.	
Vay : Tu peux bien être roux et avoir la peau mate, non ?	Vay : Можно же быть рыжим и смуглым, нет?	
Gwen : Non.	Gwen : Нет.	
Moon : Ben non.	Moon : Ну нет.	
Raph : Ah bon. Il est petit en tout cas, ça j’en suis presque sûre. Et il a les yeux vairons, pas verts. C’est quand même assez remarquable pour le remarquer !	Raph : А, правда? Во всяком случае, он маленький, в этом я почти уверена. И глаза у него разноцветные, не зеленые. Это всё-таки достаточно заметно, чтобы заметить!	« yeux vairons » désigne des yeux de couleurs différentes ; la phrase joue sur « remarquable/remarquer ». « разноцветные глаза » et « заметно/заметить » gardent le jeu.
Moon : Oublie. Tu te trompes de cousin.	Moon : Забудь. Ты ошиблась кузеном.	
Tom : Ce qui est certain, c’est qu’on parle bien de celui qui fait du surf à Honolulu.	Tom : Точно одно: мы говорим о том, кто занимается серфингом в Гонолулу.	
Vay : Et qui est sorti avec la mère de Gwen.	Vay : И кто встречался с матерью Гвен.	
Raph : Et aussi Mme Duchâteau !	Raph : И еще с мадам Дюшато!	
Liz : On parle bien du même.	Liz : Мы точно говорим об одном и том же.	
Vay : C’est ce qui compte.	Vay : Это главное.	
Raph : Qui a pu s’acheter un 4X4 Verbeira décapotable le jour de son permis.	Raph : Который смог купить кабриолет 4X4 Вербейра в день получения прав.	
Stan : Oui, au prix d’une vie. Mais une petite vie. Seulement une petite vie de clandestin…	Stan : Да, ценой жизни. Но маленькой жизни. Всего лишь маленькой жизни нелегала…	« une petite vie de clandestin » est une formule cynique qui minimise une vie humaine. « маленькой жизни нелегала » conserve cette violence.
Khal : Rigole mais moi, une crapule pareille, ça ne me dit rien.	Khal : Смейся, но мне такая мразь совсем не нравится.	
Vay : Moi non plus. Il peut se le garder, Richard, son escroc de cousin.	Vay : Мне тоже. Пусть Ришар оставит себе своего кузена-мошенника.	
